CANDIDATO,NÚMERO,PARTIDO,VOTOS
Néia Do Bairro,14523,PTB,497
Wilson Mello,30422,NOVO,496
Janete Camargo,19270,PODE,495
Prof Pedro Bernardes,50800,PSOL,495
Daniela Bruzarrosco,22888,PL,493
Maurício Macedo,55789,PSD,492
Holancio Fernandes,10133,REPUBLICANOS,491
Dr Zito,15151,MDB,487
Sabrina Marques,11181,PP,485
Papai Noel Toninho Gusman,14025,PTB,484
Tião Arantes,11211,PP,484
Francisco Pessoa,40888,PSB,484
Vera Tomaz De Lima,15656,MDB,483
Andre Alves,13064,PT,483
Professor Grego,10140,REPUBLICANOS,480
Leandro Lembo,14193,PTB,480
Jean Campos,22130,PL,476
Neidoca De Heliópolis,25116,DEM,475
Rosivaldo Moreira,50444,PSOL,474
Luciana De Jesus,14200,PTB,472
Julio Cesar Piruka,43210,PV,471
Carolina Agnello,45188,PSDB,471
Clovis Costa,50150,PSOL,470
Lelo,43430,PV,469
Patrícia Penna,43888,PV,468
Gilberto Souzza,30111,NOVO,468
Bahea,15200,MDB,466
Claire Barbagallo,45445,PSDB,465
Odilia Souza,20316,PSC,465
Kelly Do Basquete,14015,PTB,464
Vanice Camargo,19755,PODE,461
Major Ventura,14190,PTB,461
Simone Costa,17524,PSL,460
Zezé Nogueira,45054,PSDB,459
Cezinha Do Transporte,10023,REPUBLICANOS,459
Pardal Consulado,15190,MDB,458
Marcilio,45459,PSDB,456
Fátima Aguiar,14053,PTB,454
Márcio Pereira,43011,PV,454
Ana Lazarim,25014,DEM,451
Mayara Tavares,51101,PATRIOTA,451
Waldir Tiveron,17374,PSL,450
Denilson Ribeiro,55900,PSD,450
Iolanda Ruas,55333,PSD,446
Carlos Januario,13450,PT,445
